type,dep,dest,cars,3_arr,3_dep,2_arr,2_dep,1_arr,1_dep,arr
local,0533,yama,6,0000,0518,0524,0524,0528,0529,0533
local,0608,yama,4,0000,0552,0557,0558,0602,0602,0607
local,0628,yama,6,0611,0612,0617,0618,0622,0623,0627
local,0646,yama,4,0000,0629,0634,0635,0639,0639,0644
local,0721,yama,4,0656,0659,0704,0704,0709,0709,0714
local,0759,yama,4,0742,0743,0748,0748,0752,0753,0758
local,0820,yama,0,0753,0758,0804,0804,0808,0809,0814
local,0911,yama,0,0848,0853,0859,0900,0904,0905,0910
local,0946,yama,0,0928,0929,0934,0935,0939,0940,0945
local,1044,yama,6,1026,1029,1034,1034,1039,1039,1043
local,1043,yama,4,1123,1127,1132,1132,1136,1137,1142
local,1243,yama,0,1223,1227,1232,1232,1236,1237,1242
local,1343,yama,0,1323,1327,1332,1332,1336,1337,1342
local,1443,yama,4,1423,1427,1432,1432,1436,1437,1442
local,1543,yama,4,1523,1527,1532,1532,1536,1537,1542
local,1616,yama,4,1553,1600,1605,1606,1610,1610,1615
local,1656,yama,6,1632,1640,1645,1645,1649,1650,1655
local,1739,yama,6,1718,1723,1728,1729,1733,1734,1738
local,1808,yama,4,1743,1751,1757,1757,1801,1802,1807
local,1841,yama,6,1822,1824,1829,1830,1834,1834,1839
local,1912,yama,6,1846,1848,1853,1854,1859,1859,1904
local,1943,yama,4,1923,1927,1932,1933,1937,1937,1942
local,2018,yama,4,1953,1959,2004,2005,2009,2009,2014
local,2051,yama,6,2029,2035,2040,2040,2045,2045,2050
local,2141,yama,4,2123,2125,2130,2131,2135,2136,2140
last,2244,yama,6,2227,2228,2233,2234,2238,2239,2243
